T:32658,1,S1:25164,S2:25164,S3:25164,S4:25165,S5:25161,S6:25165,S7:25164
T:32668,1,S1:27196,S2:27195,S3:27196,S4:27196,S5:27194,S6:27196,S7:27196
T:32678,1,S1:30786,S2:30785,S3:30786,S4:30786,S5:30782,S6:30784,S7:30783
T:32689,1,S1:32721,S2:32723,S3:32722,S4:32723,S5:32718,S6:32720,S7:32721
T:32699,1,S1:32737,S2:32739,S3:32740,S4:32739,S5:32737,S6:32737,S7:32738
T:32708,1,S1:32738,S2:32738,S3:32739,S4:32739,S5:32736,S6:32738,S7:32738
T:32718,1,S1:32738,S2:32741,S3:32740,S4:32740,S5:32735,S6:32738,S7:32738
T:32729,1,S1:32739,S2:32740,S3:32740,S4:32742,S5:32738,S6:32739,S7:32740
T:32739,1,S1:32740,S2:32741,S3:32741,S4:32741,S5:32738,S6:32740,S7:32738
T:32749,1,S1:32740,S2:32741,S3:32740,S4:32742,S5:32737,S6:32741,S7:32740
T:32759,1,S1:32740,S2:32740,S3:32741,S4:32742,S5:32738,S6:32739,S7:32738
T:32770,1,S1:32741,S2:32741,S3:32740,S4:32741,S5:32737,S6:32740,S7:32739
T:32780,1,S1:32740,S2:32740,S3:32741,S4:32742,S5:32737,S6:32740,S7:32738
T:32790,1,S1:32738,S2:32739,S3:32739,S4:32740,S5:32736,S6:32736,S7:32738
T:32800,1,S1:32734,S2:32736,S3:32736,S4:32735,S5:32732,S6:32735,S7:32734
T:32811,1,S1:32736,S2:32736,S3:32736,S4:32738,S5:32733,S6:32735,S7:32734
T:32821,1,S1:32740,S2:32740,S3:32740,S4:32740,S5:32736,S6:32740,S7:32739
T:32831,1,S1:32737,S2:32737,S3:32739,S4:32739,S5:32736,S6:32737,S7:32737
T:32841,1,S1:32721,S2:32720,S3:32721,S4:32721,S5:32717,S6:32719,S7:32720
T:32851,1,S1:32727,S2:32728,S3:32727,S4:32727,S5:32725,S6:32726,S7:32726
T:32862,1,S1:32731,S2:32731,S3:32732,S4:32733,S5:32728,S6:32730,S7:32731
T:32872,1,S1:32740,S2:32741,S3:32741,S4:32744,S5:32737,S6:32740,S7:32740
T:32882,1,S1:32740,S2:32740,S3:32740,S4:32740,S5:32735,S6:32739,S7:32740
T:32892,1,S1:32745,S2:32744,S3:32745,S4:32745,S5:32742,S6:32742,S7:32745
T:32903,1,S1:32746,S2:32747,S3:32747,S4:32748,S5:32745,S6:32745,S7:32746
T:32913,1,S1:32747,S2:32748,S3:32749,S4:32749,S5:32744,S6:32746,S7:32748
T:32923,1,S1:32746,S2:32748,S3:32749,S4:32750,S5:32746,S6:32747,S7:32747
T:32933,1,S1:32748,S2:32749,S3:32749,S4:32749,S5:32744,S6:32747,S7:32747
T:32944,1,S1:32749,S2:32749,S3:32749,S4:32749,S5:32744,S6:32747,S7:32748
T:32954,1,S1:32747,S2:32748,S3:32748,S4:32750,S5:32746,S6:32749,S7:32748
T:32964,1,S1:32749,S2:32749,S3:32749,S4:32750,S5:32747,S6:32749,S7:32749
T:32974,1,S1:32748,S2:32749,S3:32750,S4:32749,S5:32744,S6:32748,S7:32747
T:32985,1,S1:32749,S2:32749,S3:32751,S4:32751,S5:32746,S6:32747,S7:32748
T:32995,1,S1:32747,S2:32749,S3:32751,S4:32750,S5:32746,S6:32749,S7:32748
T:33005,1,S1:32750,S2:32750,S3:32751,S4:32750,S5:32746,S6:32749,S7:32749
T:33015,1,S1:32748,S2:32750,S3:32750,S4:32751,S5:32746,S6:32750,S7:32750
T:33026,1,S1:32749,S2:32751,S3:32750,S4:32750,S5:32746,S6:32749,S7:32750
T:33036,1,S1:32750,S2:32750,S3:32752,S4:32750,S5:32747,S6:32749,S7:32750
T:33046,1,S1:32749,S2:32750,S3:32751,S4:32751,S5:32747,S6:32750,S7:32749
T:33056,1,S1:32750,S2:32750,S3:32751,S4:32750,S5:32747,S6:32750,S7:32749
T:33067,1,S1:32749,S2:32749,S3:32750,S4:32750,S5:32748,S6:32750,S7:32750
T:33077,1,S1:32750,S2:32750,S3:32752,S4:32751,S5:32748,S6:32749,S7:32748
T:33086,1,S1:32749,S2:32749,S3:32750,S4:32752,S5:32747,S6:32750,S7:32749
T:33096,1,S1:32750,S2:32750,S3:32751,S4:32751,S5:32748,S6:32749,S7:32749
T:33106,1,S1:32750,S2:32751,S3:32751,S4:32750,S5:32747,S6:32749,S7:32749
T:33117,1,S1:32749,S2:32751,S3:32750,S4:32752,S5:32747,S6:32749,S7:32750
T:33127,1,S1:32750,S2:32752,S3:32751,S4:32751,S5:32747,S6:32749,S7:32750
T:33137,1,S1:32750,S2:32752,S3:32750,S4:32750,S5:32747,S6:32749,S7:32750
T:33147,1,S1:32750,S2:32751,S3:32749,S4:32751,S5:32746,S6:32750,S7:32750
T:33158,1,S1:32750,S2:32750,S3:32751,S4:32751,S5:32748,S6:32749,S7:32749
T:33168,1,S1:32750,S2:32751,S3:32751,S4:32750,S5:32747,S6:32748,S7:32751
T:33178,1,S1:32749,S2:32751,S3:32750,S4:32752,S5:32748,S6:32750,S7:32749
T:33188,1,S1:32747,S2:32748,S3:32749,S4:32748,S5:32744,S6:32746,S7:32747
T:33199,1,S1:32742,S2:32744,S3:32743,S4:32743,S5:32739,S6:32743,S7:32741
T:33209,1,S1:32723,S2:32725,S3:32724,S4:32725,S5:32721,S6:32722,S7:32723
T:33219,1,S1:32743,S2:32743,S3:32745,S4:32743,S5:32741,S6:32743,S7:32742
T:33229,1,S1:32730,S2:32729,S3:32730,S4:32730,S5:32728,S6:32730,S7:32730
T:33240,1,S1:26882,S2:26884,S3:26883,S4:26886,S5:26881,S6:26883,S7:26885
T:33250,1,S1:22130,S2:22130,S3:22130,S4:22131,S5:22129,S6:22131,S7:22132
T:33260,1,S1:19690,S2:19690,S3:19689,S4:19691,S5:19689,S6:19689,S7:19690
T:33270,1,S1:17276,S2:17277,S3:17277,S4:17278,S5:17276,S6:17277,S7:17278
T:33281,1,S1:0,S2:0,S3:0,S4:0,S5:0,S6:0,S7:0
--------------- Result value ------------------------- 
S1:32750,S2:32752,S3:32752,S4:32752,S5:32748,S6:32750,S7:32751
